0,1,2,3,4,5,6,7,8,9,10
shopping bags,fruit/vegetable juice,,,,,,,,,
whole milk,beef,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
frozen vegetables,pot plants,domestic eggs,,,,,,,,
chicken,butter,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
whole milk,ice cream,,,,,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
whole milk,whole milk,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
bottled beer,candy,,,,,,,,,
other vegetables,meat,,,,,,,,,
pork,tea,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
sliced cheese,butter,,,,,,,,,
berries,grapes,other vegetables,,,,,,,,
female sanitary products,other vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
sausage,curd cheese,,,,,,,,,
canned beer,sausage,pork,whipped/sour cream,margarine,pickled vegetables,pastry,,,,
yogurt,berries,butter,pastry,,,,,,,
canned beer,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
waffles,tropical fruit,hard cheese,pickled vegetables,,,,,,,
citrus fruit,napkins,,,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
sliced cheese,bottled water,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
processed cheese,chocolate,chocolate,yogurt,,,,,,,
tropical fruit,hamburger meat,,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
bottled water,soda,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
root vegetables,whole milk,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
frozen meals,pip fruit,dish cleaner,processed cheese,,,,,,,
curd,other vegetables,,,,,,,,,
soda,beef,,,,,,,,,
other vegetables,curd,,,,,,,,,
soda,butter,,,,,,,,,
whole milk,soda,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
meat,pip fruit,,,,,,,,,
meat,meat,whole milk,cling film/bags,,,,,,,
misc. beverages,margarine,,,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
butter milk,flour,,,,,,,,,
whipped/sour cream,berries,cream cheese ,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
sausage,frozen vegetables,onions,canned beer,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
soda,cereals,,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
pork,root vegetables,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
beef,beef,,,,,,,,,
beef,whole milk,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
sausage,canned beer,,,,,,,,,
beef,long life bakery product,berries,candles,,,,,,,
white bread,curd,bottled water,,,,,,,,
hard cheese,oil,,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
whole milk,kitchen towels,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
beverages,curd,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
hard cheese,yogurt,,,,,,,,,
sausage,berries,,,,,,,,,
whole milk,newspapers,,,,,,,,,
yogurt,potato products,,,,,,,,,
pork,tropical fruit,seasonal products,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
ham,whole milk,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
dessert,rice,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
napkins,pastry,,,,,,,,,
coffee,sugar,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pork,yogurt,,,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
whole milk,ice cream,,,,,,,,,
whole milk,margarine,,,,,,,,,
berries,root vegetables,,,,,,,,,
beef,waffles,detergent,shopping bags,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
herbs,newspapers,brown bread,,,,,,,,
waffles,yogurt,,,,,,,,,
beef,sliced cheese,,,,,,,,,
specialty bar,margarine,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,bottled beer,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
canned fruit,newspapers,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
jam,house keeping products,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
chocolate,citrus fruit,bottled beer,bottled water,red/blush wine,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
sausage,dessert,,,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
sausage,dessert,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
meat,coffee,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,roll products ,beverages,whole milk,canned fish,sugar,,,,,
sliced cheese,root vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
whipped/sour cream,napkins,pickled vegetables,,,,,,,,
ice cream,onions,soda,,,,,,,,
chicken,house keeping products,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
pork,frozen dessert,newspapers,,,,,,,,
white wine,canned vegetables,flour,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
UHT-milk,tea,,,,,,,,,
onions,long life bakery product,,,,,,,,,
other vegetables,soda,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
pork,newspapers,napkins,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
bottled water,root vegetables,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
mustard,yogurt,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
beverages,other vegetables,curd,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
liqueur,chocolate,,,,,,,,,
red/blush wine,other vegetables,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
coffee,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
pastry,brown bread,,,,,,,,,
beef,margarine,,,,,,,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
bottled beer,ice cream,salty snack,,,,,,,,
domestic eggs,sliced cheese,,,,,,,,,
sparkling wine,bottled water,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
butter,brown bread,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
onions,specialty chocolate,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pork,canned beer,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
pickled vegetables,pastry,brown bread,sugar,,,,,,,
pastry,frozen fish,,,,,,,,,
onions,cat food,,,,,,,,,
whole milk,white bread,,,,,,,,,
tropical fruit,onions,,,,,,,,,
pork,yogurt,butter milk,,,,,,,,
butter,waffles,,,,,,,,,
ham,canned beer,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
other vegetables,shopping bags,salty snack,,,,,,,,
whole milk,hard cheese,,,,,,,,,
beverages,cat food,soda,,,,,,,,
soda,soups,,,,,,,,,
salty snack,newspapers,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
citrus fruit,soda,shopping bags,,,,,,,,
sausage,rolls/buns,soda,other vegetables,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
tropical fruit,frozen dessert,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
dishes,salty snack,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
chocolate,dessert,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
bottled water,processed cheese,packaged fruit/vegetables,yogurt,,,,,,,
chocolate,tropical fruit,,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
canned beer,bottled water,long life bakery product,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
softener,soda,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
pastry,beverages,,,,,,,,,
grapes,rolls/buns,pot plants,,,,,,,,
pip fruit,whole milk,butter milk,yogurt,,,,,,,
pork,domestic eggs,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
soda,newspapers,,,,,,,,,
sugar,whole milk,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
bottled water,beverages,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
sausage,specialty bar,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
sausage,berries,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
pork,other vegetables,,,,,,,,,
root vegetables,beverages,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
meat,citrus fruit,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
whole milk,bottled water,,,,,,,,,
roll products ,rolls/buns,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
herbs,grapes,,,,,,,,,
root vegetables,coffee,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
other vegetables,chocolate,,,,,,,,,
specialty bar,candles,,,,,,,,,
whole milk,butter,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
decalcifier,grapes,,,,,,,,,
beef,tropical fruit,,,,,,,,,
dessert,butter,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
yogurt,newspapers,,,,,,,,,
other vegetables,salt,,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
whole milk,margarine,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
brown bread,processed cheese,,,,,,,,,
other vegetables,white bread,soft cheese,,,,,,,,
root vegetables,pet care,,,,,,,,,
dessert,soda,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
specialty bar,yogurt,,,,,,,,,
ham,pastry,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
soda,whole milk,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
onions,frozen dessert,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
coffee,cream cheese ,,,,,,,,,
red/blush wine,pork,,,,,,,,,
spread cheese,newspapers,,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
canned beer,other vegetables,,,,,,,,,
bottled water,grapes,,,,,,,,,
root vegetables,dog food,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
beef,specialty bar,white bread,,,,,,,,
frozen meals,soda,,,,,,,,,
napkins,cake bar,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
whole milk,long life bakery product,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beverages,bottled water,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
meat,rolls/buns,,,,,,,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
beef,whole milk,frozen vegetables,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
salty snack,other vegetables,,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
rolls/buns,newspapers,,,,,,,,,
finished products,pastry,,,,,,,,,
canned beer,ham,,,,,,,,,
specialty fat,condensed milk,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
pastry,specialty bar,flour,,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
pip fruit,soda,,,,,,,,,
butter,sliced cheese,,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
sugar,other vegetables,,,,,,,,,
whole milk,coffee,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
sausage,pasta,,,,,,,,,
dessert,pot plants,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
organic sausage,other vegetables,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
chocolate,curd,salty snack,,,,,,,,
grapes,soda,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
pork,house keeping products,,,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
meat,whole milk,bottled water,mayonnaise,,,,,,,
rolls/buns,bottled water,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
margarine,brown bread,,,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
brown bread,other vegetables,,,,,,,,,
domestic eggs,other vegetables,soda,,,,,,,,
soda,other vegetables,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
pastry,rolls/buns,,,,,,,,,
ham,brown bread,,,,,,,,,
oil,waffles,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
turkey,chewing gum,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
curd,soda,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
yogurt,coffee,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
cake bar,butter milk,,,,,,,,,
cream,yogurt,,,,,,,,,
coffee,soda,,,,,,,,,
whole milk,oil,,,,,,,,,
whole milk,dessert,,,,,,,,,
whole milk,coffee,,,,,,,,,
ham,dessert,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
whole milk,cat food,,,,,,,,,
whole milk,popcorn,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
pork,yogurt,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
herbs,brown bread,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
onions,ice cream,,,,,,,,,
berries,domestic eggs,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
root vegetables,pastry,specialty chocolate,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
oil,other vegetables,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
sausage,dessert,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
white bread,beverages,,,,,,,,,
beef,other vegetables,,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
shopping bags,rice,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
curd,sausage,margarine,long life bakery product,,,,,,,
bottled water,photo/film,,,,,,,,,
rolls/buns,domestic eggs,bottled water,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
sparkling wine,waffles,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
beverages,chocolate,,,,,,,,,
ham,rolls/buns,,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
pork,butter,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,spices,shopping bags,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
pastry,yogurt,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,red/blush wine,curd,,,,,,,,
frankfurter,margarine,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
pastry,semi-finished bread,dishes,napkins,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
root vegetables,whole milk,bottled water,canned vegetables,,,,,,,
other vegetables,processed cheese,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pip fruit,waffles,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
soda,soda,oil,,,,,,,,
ham,whole milk,,,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
ice cream,yogurt,oil,,,,,,,,
oil,UHT-milk,,,,,,,,,
pork,beef,canned beer,newspapers,fruit/vegetable juice,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
whole milk,brandy,brown bread,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
meat,liquor,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,cat food,,,,,,,,,
soda,cling film/bags,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
canned beer,brown bread,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
beef,yogurt,,,,,,,,,
bottled water,berries,oil,,,,,,,,
beverages,rolls/buns,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
bottled water,yogurt,seasonal products,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
sausage,photo/film,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
spread cheese,shopping bags,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
bottled water,tropical fruit,,,,,,,,,
shopping bags,soda,,,,,,,,,
root vegetables,nut snack,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
canned fish,rolls/buns,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
yogurt,pastry,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
rum,rolls/buns,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
berries,pet care,,,,,,,,,
soda,snack products,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
sausage,grapes,,,,,,,,,
tropical fruit,sausage,dog food,sweet spreads,,,,,,,
ice cream,pip fruit,,,,,,,,,
sausage,chicken,,,,,,,,,
misc. beverages,pork,domestic eggs,sparkling wine,whipped/sour cream,semi-finished bread,,,,,
frozen dessert,rolls/buns,,,,,,,,,
pastry,detergent,dishes,,,,,,,,
turkey,whole milk,,,,,,,,,
canned beer,cooking chocolate,white bread,curd,mustard,chocolate,,,,,
sausage,other vegetables,fruit/vegetable juice,,,,,,,,
meat,oil,candles,female sanitary products,,,,,,,
bottled beer,soda,frozen vegetables,,,,,,,,
pip fruit,butter,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
yogurt,soda,frozen vegetables,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
rolls/buns,butter,,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
ham,cream cheese ,other vegetables,oil,candy,,,,,,
frankfurter,pip fruit,,,,,,,,,
brown bread,waffles,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whipped/sour cream,tropical fruit,specialty chocolate,flour,,,,,,,
bottled beer,soda,bottled water,cat food,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
butter milk,butter,,,,,,,,,
whole milk,whole milk,,,,,,,,,
grapes,honey,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
hamburger meat,cream cheese ,,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
ice cream,fruit/vegetable juice,cereals,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
root vegetables,butter,dessert,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
onions,soda,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
yogurt,pip fruit,yogurt,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
citrus fruit,UHT-milk,,,,,,,,,
citrus fruit,liquor,,,,,,,,,
sausage,frozen meals,long life bakery product,soda,,,,,,,
frankfurter,dessert,,,,,,,,,
grapes,other vegetables,,,,,,,,,
pastry,napkins,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
whole milk,coffee,chewing gum,,,,,,,,
other vegetables,abrasive cleaner,bottled beer,,,,,,,,
white wine,sauces,,,,,,,,,
whole milk,bottled water,whipped/sour cream,,,,,,,,
root vegetables,soda,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
photo/film,pork,liquor,,,,,,,,
ham,cream cheese ,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
semi-finished bread,liquor,pastry,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
pip fruit,pasta,,,,,,,,,
ice cream,curd,,,,,,,,,
frankfurter,curd,,,,,,,,,
soda,sugar,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pip fruit,rum,,,,,,,,,
berries,brown bread,,,,,,,,,
frankfurter,chicken,white bread,whipped/sour cream,specialty fat,soft cheese,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
chicken,cling film/bags,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
other vegetables,other vegetables,jam,,,,,,,,
other vegetables,rum,bottled water,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pip fruit,butter,,,,,,,,,
long life bakery product,whole milk,pip fruit,pork,frozen dessert,,,,,,
rolls/buns,curd,cat food,,,,,,,,
chicken,soda,canned fish,,,,,,,,
pork,beef,yogurt,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
tropical fruit,margarine,,,,,,,,,
beef,pork,salty snack,abrasive cleaner,pasta,shopping bags,,,,,
whole milk,canned beer,,,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
rolls/buns,coffee,,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
bottled water,other vegetables,,,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
beverages,domestic eggs,,,,,,,,,
pasta,mustard,syrup,,,,,,,,
frozen vegetables,pasta,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
citrus fruit,pastry,,,,,,,,,
berries,baking powder,,,,,,,,,
whole milk,sauces,,,,,,,,,
sausage,bottled water,,,,,,,,,
misc. beverages,bottled water,mustard,,,,,,,,
soda,yogurt,,,,,,,,,
meat spreads,shopping bags,,,,,,,,,
oil,cake bar,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
canned beer,seasonal products,,,,,,,,,
pip fruit,white bread,,,,,,,,,
bottled beer,butter,,,,,,,,,
beverages,bottled water,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
detergent,newspapers,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
beef,processed cheese,other vegetables,spices,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
root vegetables,softener,,,,,,,,,
